Day,numGames,numSessions,DayNum,hasGame
4/7/13,0,1322,501,FALSE
11/5/13,0,2624,713,FALSE
2/14/16,0,7308,1544,FALSE
6/18/13,0,1003,573,FALSE
11/11/14,0,5098,1084,FALSE
12/13/15,14,7276,1481,TRUE
12/12/12,0,2623,385,FALSE
11/16/15,1,5325,1454,TRUE
12/13/11,0,1624,25,FALSE
3/10/15,0,3222,1203,FALSE
11/16/14,12,5733,1089,TRUE
4/2/15,0,3105,1226,FALSE
4/7/15,0,2714,1231,FALSE
3/24/16,0,4111,1583,FALSE
12/19/15,1,8422,1487,TRUE
11/3/12,0,3252,346,FALSE
11/20/13,0,2779,728,FALSE
8/17/14,0,2539,998,FALSE
4/5/16,0,2770,1595,FALSE
11/25/15,0,7951,1463,FALSE
5/7/13,0,966,531,FALSE
2/1/15,0,6963,1166,FALSE
6/6/13,0,1060,561,FALSE
9/17/14,0,7441,1029,FALSE
12/13/14,0,6272,1116,FALSE
11/15/12,1,2169,358,TRUE
4/30/13,0,1134,524,FALSE
11/25/13,1,2920,733,TRUE
4/15/14,0,2053,874,FALSE
12/5/12,0,2572,378,FALSE
3/29/13,0,1549,492,FALSE
10/3/12,0,3527,315,FALSE
5/26/12,0,459,185,FALSE
12/17/13,0,3386,755,FALSE
9/7/13,0,5333,654,FALSE
8/24/14,0,2838,1005,FALSE
12/1/15,0,6025,1469,FALSE
8/30/12,0,6440,281,FALSE
2/29/12,0,980,99,FALSE
11/3/14,1,4478,1076,TRUE
8/15/12,0,713,266,FALSE
8/21/12,0,747,272,FALSE
7/7/12,0,674,227,FALSE
5/28/12,0,640,187,FALSE
11/5/14,0,4202,1078,FALSE
9/11/13,0,4131,658,FALSE
9/28/13,0,4019,675,FALSE
12/9/13,1,3417,747,TRUE
9/15/13,14,4343,662,TRUE
1/4/14,0,5532,773,FALSE
11/17/14,1,4560,1090,TRUE
1/6/13,0,3594,410,FALSE
7/17/14,0,1614,967,FALSE
3/8/16,0,3862,1567,FALSE
4/20/15,0,2279,1244,FALSE
1/11/12,0,1876,54,FALSE
7/15/12,0,732,235,FALSE
10/21/15,0,6216,1428,FALSE
9/20/13,0,3048,667,FALSE
8/13/13,0,1005,629,FALSE
6/23/14,0,1716,943,FALSE
3/9/14,0,3208,837,FALSE
1/30/14,0,3920,799,FALSE
3/31/15,0,3002,1224,FALSE
8/25/13,0,1308,641,FALSE
3/19/16,0,4557,1578,FALSE
9/18/14,1,7250,1030,TRUE
8/30/13,0,5022,646,FALSE
7/13/15,0,2184,1328,FALSE
1/15/15,0,5133,1149,FALSE
6/1/16,0,1275,1652,FALSE
9/19/12,0,4480,301,FALSE
2/24/14,0,2911,824,FALSE
2/17/16,0,5250,1547,FALSE
8/14/14,0,2168,995,FALSE
12/29/14,0,7223,1132,FALSE
11/8/13,0,2529,716,FALSE
4/12/16,0,2330,1602,FALSE
9/23/14,0,6412,1035,FALSE
1/28/12,0,2190,68,FALSE
5/17/13,0,944,541,FALSE
5/6/15,0,2401,1260,FALSE
12/7/13,0,4729,745,FALSE
3/15/12,0,897,114,FALSE
3/27/15,0,3041,1220,FALSE
10/17/14,0,4953,1059,FALSE
5/2/13,0,1148,526,FALSE
10/6/15,0,6484,1413,FALSE
11/21/12,0,2850,364,FALSE
7/20/12,0,632,240,FALSE
11/8/15,11,7009,1446,TRUE
4/2/14,0,2076,861,FALSE
8/1/12,0,740,252,FALSE
5/27/13,0,1277,551,FALSE
8/27/13,0,3602,643,FALSE
12/23/14,0,6752,1126,FALSE
5/8/13,0,1053,532,FALSE
4/12/13,0,1228,506,FALSE
9/11/15,0,9415,1388,FALSE
8/7/13,0,1192,623,FALSE
3/18/13,0,1477,481,FALSE
11/26/15,3,7873,1464,TRUE
8/7/15,0,2404,1353,FALSE
4/16/15,0,2189,1240,FALSE
12/27/14,0,4343,1130,FALSE
5/28/15,0,1966,1282,FALSE
2/16/14,0,3878,816,FALSE
1/2/12,0,2369,45,FALSE
11/27/12,0,2446,370,FALSE
6/10/13,0,1043,565,FALSE
2/6/14,0,3737,806,FALSE
7/11/13,0,1015,596,FALSE
8/19/12,0,53,270,FALSE
4/14/14,0,2144,873,FALSE
4/13/12,0,772,143,FALSE
4/15/12,0,952,145,FALSE
12/3/11,0,2051,15,FALSE
4/2/16,0,4003,1592,FALSE
1/5/13,0,3611,409,FALSE
2/27/12,0,1347,97,FALSE
3/7/15,0,4813,1200,FALSE
